时间                 ,期数         ,开奖结果
2020-02-18 13:09:05,20200218001,"10,08,07,05,04,01,09,06,02,03"
2020-02-18 13:14:05,20200218002,"09,04,02,06,08,03,05,01,07,10"
2020-02-18 13:19:05,20200218003,"10,02,07,03,06,08,09,01,04,05"
2020-02-18 13:24:05,20200218004,"02,09,04,01,05,07,08,03,06,10"
2020-02-18 13:29:05,20200218005,"06,10,03,02,08,01,05,07,04,09"
2020-02-18 13:34:05,20200218006,"04,10,08,03,07,01,09,06,05,02"
2020-02-18 13:39:05,20200218007,"06,09,05,01,03,04,10,02,08,07"
2020-02-18 13:44:05,20200218008,"09,04,07,01,10,02,03,05,08,06"
2020-02-18 13:49:05,20200218009,"03,05,01,10,04,09,06,08,02,07"
2020-02-18 13:54:05,20200218010,"06,07,01,08,03,09,10,02,04,05"
2020-02-18 13:59:05,20200218011,"05,03,04,02,07,06,01,09,10,08"
2020-02-18 14:04:05,20200218012,"10,08,01,09,07,04,03,06,02,05"
2020-02-18 14:09:05,20200218013,"04,06,09,02,07,03,01,05,10,08"
2020-02-18 14:14:05,20200218014,"07,04,09,05,10,06,08,03,01,02"
2020-02-18 14:19:05,20200218015,"02,07,05,01,06,08,10,03,09,04"
2020-02-18 14:24:05,20200218016,"09,07,01,08,06,10,05,04,03,02"
2020-02-18 14:29:05,20200218017,"04,01,07,03,08,05,09,02,10,06"
2020-02-18 14:34:05,20200218018,"10,05,04,03,09,02,07,06,08,01"
2020-02-18 14:39:05,20200218019,"10,01,06,04,02,05,09,07,03,08"
2020-02-18 14:44:05,20200218020,"09,10,08,05,07,04,06,01,02,03"
2020-02-18 14:49:05,20200218021,"09,01,10,05,02,07,04,03,06,08"
2020-02-18 14:54:05,20200218022,"04,07,08,05,01,03,10,09,06,02"
2020-02-18 14:59:05,20200218023,"09,07,10,03,04,06,08,05,02,01"
2020-02-18 15:04:05,20200218024,"01,02,08,05,09,10,04,06,07,03"
2020-02-18 15:09:05,20200218025,"07,09,04,03,02,08,10,01,05,06"
2020-02-18 15:14:05,20200218026,"03,01,08,10,02,05,07,09,04,06"
2020-02-18 15:19:05,20200218027,"01,08,04,09,07,05,03,06,02,10"
2020-02-18 15:24:05,20200218028,"04,09,01,10,02,07,06,03,05,08"
2020-02-18 15:29:05,20200218029,"05,08,02,01,07,06,03,04,09,10"
2020-02-18 15:34:05,20200218030,"10,07,05,02,04,01,06,09,08,03"
2020-02-18 15:39:05,20200218031,"02,04,10,05,03,01,06,09,07,08"
2020-02-18 15:44:05,20200218032,"03,08,01,02,07,04,06,10,09,05"
2020-02-18 15:49:05,20200218033,"06,07,10,02,08,09,03,04,01,05"
2020-02-18 15:54:05,20200218034,"10,04,09,03,05,07,06,01,02,08"
2020-02-18 15:59:05,20200218035,"08,02,06,01,07,04,03,05,10,09"
2020-02-18 16:04:05,20200218036,"07,01,04,03,05,10,08,06,09,02"
2020-02-18 16:09:05,20200218037,"07,05,04,08,10,02,09,03,06,01"
2020-02-18 16:14:05,20200218038,"05,07,10,09,01,03,08,04,02,06"
2020-02-18 16:19:05,20200218039,"02,03,06,10,01,07,09,04,08,05"
2020-02-18 16:24:05,20200218040,"01,09,08,06,04,03,05,07,10,02"
2020-02-18 16:29:05,20200218041,"10,02,03,05,09,07,04,06,08,01"
2020-02-18 16:34:05,20200218042,"05,03,10,02,01,08,04,06,09,07"
